# ev
0 -5.945487701576254e-16 -1.353558699324473e-16
1 2.969415723910755e-01 7.111320885518192e-01
2 -1.508922223576920e-15 6.372629911781051e-16
3 6.173165676349116e-01 -9.238795325112885e-01
4 6.173165676349086e-01 9.238795325112880e-01
5 6.173165676349077e-01 -9.238795325112898e-01
6 6.173165676349076e-01 9.238795325112855e-01
7 6.173165676349083e-01 9.238795325112847e-01
8 6.173165676349074e-01 -9.238795325112916e-01
9 6.173165676349072e-01 -9.238795325112937e-01
10 6.173165676349091e-01 9.238795325112845e-01
11 6.173165676349112e-01 -9.238795325112898e-01
12 6.173165676349098e-01 9.238795325112921e-01
13 6.173165676349108e-01 -9.238795325112874e-01
14 6.173165676349113e-01 9.238795325112880e-01
15 1.382683432365096e+00 -9.238795325112900e-01
16 1.396598757465314e+00 9.179920618267681e-01
17 1.382683432365088e+00 -9.238795325112841e-01
18 1.382683432365093e+00 9.238795325112914e-01
19 1.382683432365088e+00 -9.238795325112878e-01
20 1.382683432365085e+00 9.238795325112782e-01
21 1.382683432365087e+00 9.238795325112835e-01
22 1.382683432365090e+00 -9.238795325112894e-01
23 1.382683432365079e+00 9.238795325112846e-01
24 1.382683432365091e+00 -9.238795325112890e-01
25 1.382683432365091e+00 9.238795325112849e-01
26 1.382683432365092e+00 -9.238795325112881e-01
27 1.382683432365095e+00 9.238795325112908e-01
28 1.382683432365093e+00 -9.238795325112901e-01
29 1.382683432365099e+00 9.238795325112916e-01
30 1.382683432365096e+00 -9.238795325112865e-01
31 1.382683432365091e+00 9.238795325112921e-01
32 1.707106781186544e+00 7.071067811865466e-01
33 1.675278651428347e+00 -7.375627044022278e-01
34 1.675278651428340e+00 -7.375627044022315e-01
35 1.675278651428338e+00 -7.375627044022292e-01
36 1.707106781186544e+00 7.071067811865462e-01
37 1.675278651428335e+00 7.375627044022238e-01
38 1.675278651428330e+00 7.375627044022239e-01
39 1.675278651428334e+00 7.375627044022268e-01
40 1.707106781186562e+00 -7.071067811865483e-01
41 1.707106781186552e+00 -7.071067811865493e-01
42 1.707106781186551e+00 -7.071067811865502e-01
43 1.382683432365083e+00 -9.238795325112865e-01
44 1.382683432365096e+00 -9.238795325112907e-01
45 1.382683432365093e+00 -9.238795325112881e-01
46 1.675278651428346e+00 -7.375627044022340e-01
47 1.382683432365097e+00 -9.238795325112887e-01
48 1.675278651428335e+00 -7.375627044022330e-01
49 1.382683432365091e+00 9.238795325112897e-01
50 1.382683432365094e+00 9.238795325112864e-01
51 1.382683432365102e+00 9.238795325112913e-01
52 1.382683432365095e+00 9.238795325112885e-01
53 1.675278651428334e+00 -7.375627044022269e-01
54 1.675278651428342e+00 7.375627044022287e-01
55 1.675278651428353e+00 7.375627044022356e-01
56 1.675278651428352e+00 -7.375627044022343e-01
57 1.675278651428338e+00 7.375627044022296e-01
58 1.675278651428341e+00 7.375627044022245e-01
59 1.675278651428335e+00 -7.375627044022308e-01
60 1.675278651428340e+00 7.375627044022295e-01
61 1.707106781186546e+00 -7.071067811865439e-01
62 1.707106781186539e+00 -7.071067811865485e-01
63 1.707106781186558e+00 7.071067811865526e-01
64 1.707106781186564e+00 7.071067811865533e-01
65 1.707106781186552e+00 -7.071067811865498e-01
66 1.707106781186542e+00 7.071067811865449e-01
67 1.707106781186551e+00 -7.071067811865510e-01
68 1.707106781186538e+00 7.071067811865426e-01
69 1.707106781186548e+00 -7.071067811865469e-01
70 1.707106781186557e+00 7.071067811865507e-01
71 1.707106781186546e+00 7.071067811865472e-01
72 1.707106781186560e+00 -7.071067811865551e-01
73 1.707106781186548e+00 -7.071067811865492e-01
74 1.998284406920233e+00 -5.855119896245714e-02
75 1.707106781186551e+00 -7.071067811865490e-01
76 1.845861810897966e+00 5.334020967941843e-01
77 1.845861810897952e+00 5.334020967941767e-01
78 1.707106781186543e+00 -7.071067811865436e-01
79 1.845861810897979e+00 5.334020967941795e-01
80 1.707106781186546e+00 7.071067811865482e-01
81 1.707106781186548e+00 7.071067811865499e-01
82 1.707106781186551e+00 7.071067811865512e-01
83 1.707106781186558e+00 7.071067811865490e-01
84 1.988064157925801e+00 -1.540429155215476e-01
85 1.988064157925813e+00 -1.540429155215471e-01
86 1.988064157925815e+00 1.540429155215453e-01
87 1.845861810897954e+00 -5.334020967941773e-01
88 1.988064157925801e+00 1.540429155215465e-01
89 1.845861810897978e+00 -5.334020967941808e-01
90 1.845861810897969e+00 -5.334020967941794e-01
91 1.988064157925808e+00 1.540429155215512e-01
92 1.845861810897971e+00 -5.334020967941793e-01
93 1.845861810897944e+00 -5.334020967941806e-01
94 1.845861810897967e+00 -5.334020967941793e-01
95 1.988064157925802e+00 1.540429155215453e-01
96 1.988064157925796e+00 1.540429155215466e-01
97 1.988064157925799e+00 1.540429155215484e-01
98 1.988064157925808e+00 -1.540429155215455e-01
99 1.963243898949519e+00 2.686283513267453e-01
100 1.988064157925805e+00 -1.540429155215473e-01
101 1.963243898949500e+00 2.686283513267427e-01
102 1.963243898949514e+00 2.686283513267471e-01
103 1.988064157925798e+00 -1.540429155215433e-01
104 1.945853039464199e+00 -3.245951751586725e-01
105 1.963243898949534e+00 -2.686283513267462e-01
106 1.963243898949536e+00 -2.686283513267475e-01
107 1.963243898949518e+00 -2.686283513267477e-01
108 1.845861810897964e+00 5.334020967941790e-01
109 1.845861810897959e+00 5.334020967941762e-01
110 1.845861810897950e+00 5.334020967941759e-01
111 1.845861810897969e+00 5.334020967941819e-01
112 1.845861810897958e+00 5.334020967941766e-01
113 1.845861810897962e+00 -5.334020967941822e-01
